id;;geslacht;leeftijd;stance;stance_numeriek;oppervlakte;afstand;richting;G_29aug_blok1;M_29aug_blok1;PI_29aug_blok1;PM_29aug_blok1;G_29aug_blok2;M_29aug_blok2;PI_29aug_blok2;PM_29aug_blok2;G_30aug_blok1;M_30aug_blok1;PI_30aug_blok1;PM_30aug_blok1;G_30aug_blok2;M_30aug_blok2;PI_30aug_blok2;PM_30aug_blok2;G_30aug_blok3;M_30aug_blok3;PI_30aug_blok3;PM_30aug_blok3;G_30aug_blok4;M_30aug_blok4;PI_30aug_blok4;PM_30aug_blok4;G_31aug_blok1;M_31aug_blok1;PI_31aug_blok1;PM_31aug_blok1;G_31aug_blok2;M_31aug_blok2;PI_31aug_blok2;PM_31aug_blok2;G_31aug_blok3;M_31aug_blok3;PI_31aug_blok3;PM_31aug_blok3;G_31aug_blok4;M_31aug_blok4;PI_31aug_blok4;PM_31aug_blok4
3215;;Vrouw;45-64 jaar;Negatief;-1;17483,384;451,473;Noordoost;41,15500259;43,87931824;0;0;46,22928619;86,2309494;0;0;46,78553772;73,17501831;0,16;1;46,71437836;73,87625885;0;0;43,09193802;67,67378235;0;0;44,5864296;61,69042206;0;0;43,43165207;58,70460129;0;0;47,7605629;67,29404449;0,1;2;49,47122192;64,07511139;0;0;50,4951973;66,42420197;0,04;1
3223;;;;Positief;1;1215743,411;156,604;West;42,91394043;51,18530273;0;0;45,51366806;76,62999725;20,69;34;54,09429169;96,69158173;100;52;53,07321548;102,0819778;100;188;53,19706345;103,7735214;100;105;56,28283691;101,4781799;93,91;118;52,57183075;113,8776855;100;53;54,82810974;102,4591599;100;126;58,11196136;111,7148514;100;77;58,94395828;113,9989929;100;83
3224;;Vrouw;45-64 jaar;Negatief;-1;591,558;237,494;Noordoost;39,23487473;41,45755386;0;0;42,0171051;56,81026077;0;0;47,39048767;72,36432648;0;0;47,30750656;63,27304459;0;0;46,70980835;62,29711914;0;0;49,0832634;66,24555969;0;0;45,6100769;61,04655075;0;0;51,24620056;69,87120056;0;0;52,44281006;64,59605408;0;0;54,25483322;69,44569397;0;0
3226;;Man;25-44 jaar;Negatief;-1;3339,548;563,248;Noordoost;42,15477753;43,55472565;0;0;56,5751915;105,1312027;0;0;46,40930557;73,17501831;0,16;1;46,71219254;73,87625885;0,19;6;43,80797195;67,67378235;0,08;2;45,68181229;61,69042206;0;0;44,67692947;53,73074341;0;0;48,03556061;64,68094635;0;0;50,15565491;59,78019333;0;0;51,12824631;61,05204773;0;0
3227;;Man;25-44 jaar;Positief;1;14592,073;305,559;West;44,41521835;47,79660797;0;0;47,65945435;72,58857727;0,31;13;59,28210449;75,6623764;14,25;22;54,7516098;75,15097046;1,52;69;54,24021149;74,61712646;1,25;25;57,94542694;74,8236618;3,1;56;55,74343491;83,19984436;1,19;19;53,1578598;76,37244415;0,29;8;56,68418503;69,81435394;0,27;12;57,45105743;70,24763489;0,81;9
3230;;Man;45-64 jaar;Positief;1;5550,419;306,819;Noord;39,71537209;42,69814301;0;0;42,63799858;60,00718689;0;0;47,57011223;71,53736877;0,34;2;47,82135773;63,06628036;0;0;47,19728661;63,66679001;0;0;49,73223114;66,5223999;0,02;1;46,26165009;62,1543808;0;0;51,57887459;70,91890717;0,27;3;52,90644836;66,1882782;0,06;2;54,55693626;72,35590363;1,17;12
3232;;Man;65+;Negatief;-1;9842,212;245,336;West;44,43099594;47,50503922;0;0;47,01108932;70,68260956;0;0;61,8710289;77,52288818;22,81;25;56,15636063;74,27591705;2,38;64;55,67246628;73,32582092;2,62;39;59,8110733;76,94933319;17,93;93;63,04957962;113,6147461;3,8;32;55,02612686;74,38531494;5,58;29;58,68326569;69,47546387;22,92;72;59,54831314;70,39959717;29,59;63
3240;;Man;25-44 jaar;Positief;1;1678,765;138,629;Noordwest;43,82304764;45,84335709;0;0;45,18617249;60,72630692;0;0;63,37681198;78,98177338;28,52;29;59,43213272;71,77129364;7,08;151;59,17750549;69,65206146;8,16;68;63,72808838;78,77524567;35,55;112;59,02387619;69,81446838;10,07;30;59,78024673;74,18370056;13,46;65;63,21458054;71,46278381;44,01;77;64,4571991;73,73171997;47,9;62
3243;;Vrouw;25-44 jaar;Negatief;-1;8681,753;154,646;Zuid;45,0989151;47,08869934;0;0;47,78956604;73,64521027;0;0;70,09857178;88,2558136;1,650078575;3;63,32014084;76,59062195;0;0;63,40979385;76,7237854;0;0;67,10929871;83,35930634;0;0;59,24312592;81,12995148;0;0;62,98357391;78,38283539;0;0;66,09571075;81,95293427;0;0;67,69609833;99,78936768;0,056614456;1
3244;;Vrouw;25-44 jaar;Negatief;-1;8034,343;197,135;Zuid;44,88205338;46,34857559;0;0;46,93085098;69,13601685;0;0;66,15032196;81,91677094;31,22;44;62,33004761;74,21698761;34,89;163;62,38736725;74,46200562;28;75;65,96032715;75,96833038;65,6;80;58,50379562;90,22101593;8,19;40;62,25058746;75,97301483;21,3;103;65,43437958;75,33319092;44,78;46;66,54717255;98,65201569;52,86;57
